Code ;WD;THK;LA.wp;SLA.wp;LP.mass;MAXHT;sprout
MOSXER;0.804036265;270.6805556;13.74171065;70.3993454;0.968479345;5;1
MOUHEL;1.036882172;344.9444445;6.110736764;84.03922928;0.959921387;11;0
MYRAMA;0.808737351;199.9333333;32.88439467;179.0231057;0.972802995;8;0
MYRCOR;0.652871088;264.5555555;17.20402082;110.0151224;0.931565657;17;0
MYRDEF;0.807127193;248.6611111;65.49730504;112.9646487;0.959701438;18;0.0188679245283019
MYRFAL;0.880047628;200.8888889;37.08876711;140.7603147;0.964536965;19;0
MYRGUI;NA;227.2222222;3.897098716;144.113539;0.965282553;15;0
MYRSPL;0.744340679;151.0555556;25.46828961;382.8177427;0.96144332;4;0
NECCOR;0.717952139;209.6919192;30.52515694;94.92088448;0.966131037;34;0.0909090909090909
NECHIH;0.397534021;NA;77.408;128.3326667;NA;30;NA
NECTUR;0.589532282;188;153.3279143;138.220474;0.976828969;8;0
NEEBUX;0.728870713;267.4722222;1.333166523;172.6094762;0.962859689;6;0.0746753246753247
NEORES;0.724916164;178.5019157;18.36578831;114.5565616;0.959338708;21;0.00806451612903226
OCHPYR;0.165925641;NA;169.6;225.56;NA;27;NA
OCOCUN;0.510758563;216.7037037;97.16508962;90.42509734;0.950223827;6;0
OCOFLO;0.424580988;NA;113.1373333;157.0726667;NA;20;NA
OCOLEU;0.499727496;218.7154472;166.1296835;123.1518399;0.957814776;30;0.0174002047082907
OCOMOS;0.593777035;NA;91.17666667;66.76066667;NA;27;NA
OCOPOR;0.594741598;NA;65.24133333;113.228;NA;17;NA
OCOSPA;0.61396144;376.9444444;44.0659329;73.55309611;0.97474102;10;0.411764705882353
ORMKRU;0.516591536;180.1333333;1402.33764;167.3877816;0.777147008;28;0.0697674418604651
OTTRHO;NA;330.3333333;46.53366373;71.33140803;0.963616009;8;0
OXALAU;0.593823462;NA;108.4206667;213.754;NA;10;0
PALRIP;0.475268182;127.6944444;76.14909091;253.1822727;0.910643797;5;0
PERAME;0.530551645;162;90.44101596;170.6231186;0.941919858;21;0
PETDOM;0.604667297;462.3333333;69.35331918;87.40845815;0.891047211;25;0
PICACU;0.990253994;253.5277778;19.86112488;99.91767447;0.869528349;10;0.0588235294117647
