"","PLANTS_Accepted_Name","SPCD","Symbol","Origin","Height_m","Height_max","Deciduous","Wood_Density","Myco_Group","Leaf_Thickness","Family","Nfixer","Seed_wt_avg_Kew_or_other_g_per_1000"
"119","Faramea occidentalis",7146,"FAOC","N",9,9,"E","0.584","AM","Subcoriaceous","Rubiaceae","no","300"
"120","Ficus americana",7148,"FIAM","N",15,15,"E","0.4","AM","Coriaceous","Moraceae","no",""
"121","Ficus citrifolia",877,"FICI","N",18,22.3,"E","0.384","AM","Subcoriaceous","Moraceae","no","0.6"
"122","Ficus trigonata",7177,"FITR","N",27,27,"E","0.43","AM","Subcoriaceous","Moraceae","no","0.7884"
"123","Gliricidia sepium",7245,"GLSE2","I",8,11,"D","0.616","AM","Chartaceous","Fabaceae","yes","104"
"124","Guaiacum officinale",7279,"GUOF","N",9,9.1,"E","No data","No data","Subcoriaceous","Zygophyllaceae","no","#N/A"
"125","Guapira fragrans",7285,"GUFR","N",12,19.5,"E","0.489","EM","Subcoriaceous","Nyctaginaceae","no","52"
"126","Guapira obtusata",7286,"GUOB","N",18,18,"D","No data","EM","Subcoriaceous","Nyctaginaceae","no",""
"127","Guarea glabra",7288,"GUGL3","N",7.5,17.1,"E","0.478","AM","Subcoriaceous","Meliaceae","no","595"
"128","Guarea guidonia",7290,"GUGU","N",23,24.4,"E","0.559","AM","Subcoriaceous","Meliaceae","no","500"
"129","Guazuma ulmifolia",7298,"GUUL","N",15,18,"E","0.525","AM","Chartaceous","Sterculiaceae","no","47"
"130","Guettarda ovalifolia",7303,"GUOV","N",9,10.4,"E","No data","AM","Chartaceous","Rubiaceae","no",""
"131","Guettarda pungens",7305,"GUPU","N",6,7.9,"E","No data","AM","Coriaceous","Rubiaceae","no",""
"132","Guettarda scabra",7306,"GUSC","N",4.5,13.7,"E","0.69","AM","Coriaceous","Rubiaceae","no",""
"133","Guettarda valenzuelana",7309,"GUVA","N",19.5,19.5,"E","0.66","No data","Subcoriaceous","Rubiaceae","no",""
"134","Gyminda latifolia",7315,"GYLA","N",6,7.3,"E","No data","AM","Subcoriaceous","Celastraceae","no","38.2155"
"135","Gymnanthes lucida",7317,"GYLU","N",9,12.8,"E","0.964","No data","Subcoriaceous","Euphorbiaceae","no",""
"136","Haematoxylum campechianum",7321,"HACA2","I",9,18.3,"D","0.934","No data","Chartaceous","Fabaceae","yes","17.087"
"137","Helicteres jamaicensis",7347,"HEJA","N",3,4.6,"E","No data","No data","Subcoriaceous","Sterculiaceae","no","1337.96"
"138","Henriettea squamulosum",7357,"HESQ","N",15,17.4,"E","0.74","No data","Coriaceous","Melastomataceae","no",""
"139","Hippomane mancinella",883,"HIMA2","N",12,12,"E","0.5","No data","Coriaceous","Euphorbiaceae","no",""
"140","Homalium racemosum",7422,"HORA","N",21,21,"E","0.778","No data","Chartaceous to Subcoriaceous","Flacourtiaceae","no",""
"141","Hura crepitans",7434,"HUCR","N",24,24,"D","0.367","No data","Subcoriaceous","Euphorbiaceae","no","868"
"142","Hyeronima clusioides",7438,"HYCL","N",21,21,"E","No data","No data","Subcoriaceous","Euphorbiaceae","no","4.9"
"143","Hymenaea courbaril",7442,"HYCO","N",20,25.6,"E","0.788","EM + NM","Coriaceous","Fabaceae","yes","3678"
"144","Ilex nitida",7459,"ILNI","N",12,12,"E","No data","AM + EM","Coriaceous","Aquifoliaceae","no",""
"145","Inga laurina",7470,"INLA","N",21,22.9,"E","0.649","AM","Coriaceous","Fabaceae","yes","892.86"
"146","Inga vera",7474,"INVE","N",18,29,"E","0.563","AM","Coriaceous","Fabaceae","yes",""
"147","Ixora ferrea",7479,"IXFE","I",6,23.5,"E","0.65","AM","Subcoriaceous","Rubiaceae","no",""
"148","Jacquinia armillaris",7485,"JAAR2","N",4.5,4.5,"E","No data","No data","Coriaceous","Theophrastaceae","no","19.9932"
"149","Krugiodendron ferreum",7514,"KRFE","N",4.5,10.4,"E","1.089","No data","Subcoriaceous","Rhamnaceae","no","90.09"
"150","Laetia procera",7530,"LAPR2","N",23,23,"E","0.648","No data","Subcoriaceous","Flacourtiaceae","no","4"
"151","Laguncularia racemosa",988,"LARA2","N",12,15.8,"E","0.61","No data","Coriaceous","Combretaceae","no","280"
"152","Leandra krugiana",7552,"LEKR","N",3,3,"E","No data","AM","Chartaceous","Melastomataceae","no",""
"153","Leucaena leucocephala",7565,"LELE10","I",7.5,13.1,"D","0.678","AM","Chartaceous","Fabaceae","yes","43.27"
"154","Licaria brittoniana",7569,"LIBR5","N",18,18,"E","No data","No data","Coriaceous","Lauraceae","no",""
"155","Licaria parvifolia",7570,"LIPA9","N",15,15.8,"E","0.8","AM","Coriaceous","Lauraceae","no",""
"156","Lonchocarpus domingensis",7590,"LODO5","N",21,21,"D","No data","AM + EM","Subcoriaceous","Fabaceae","yes",""
"157","Lonchocarpus glaucifolius",7591,"LOGL2","N",9,17.7,"E","No data","AM + EM","Coriaceous","Fabaceae","yes",""
"158","Lonchocarpus heptaphyllus",7592,"LOHE7","N",9,17.1,"D","0.687","No data","Subcoriaceous","Fabaceae","yes","91"
"159","Maclura tinctoria",7632,"MATI3","N",15,15,"D","0.795","No data","No data","Moraceae","no","3"
"160","Magnolia portoricensis",7635,"MAPO2","N",21,21,"E","0.7","AM","Coriaceous","Magnoliaceae","no","135.53"
"161","Mammea americana",7652,"MAAM2","N",18,18,"E","0.624","AM + NM","Coriaceous","Clusiaceae","no","73300"
"162","Mangifera indica",885,"MAIN3","I",19.5,35.1,"E","0.573","AM","Coriaceous","Anacardiaceae","no","16466"
"163","Manilkara bidentata",7662,"MABI5","N",30,30,"E","0.873","AM + EM","Coriaceous","Sapotaceae","no","1500"
"164","Margaritaria nobilis",7682,"MANO","N",12,17.1,"D","0.622","No data","Chartaceous","Euphorbiaceae","no","11"
"165","Matayba domingensis",7689,"MADO2","N",18,21,"E","0.73","AM","Coriaceous","Sapindaceae","no",""
"166","Maytenus elongata",7697,"MAEL3","N",6,6,"E","No data","No data","Coriaceous","Celastraceae","no",""
"167","Maytenus laevigata",7698,"MALA8","N",13.5,14,"E","No data","AM","Subcoriaceous","Celastraceae","no",""
"168","Maytenus ponceana",7699,"MAPO5","N",12,12,"E","No data","AM","Coriaceous","Celastraceae","no",""
"169","Melicoccus bijugatus",7717,"MEBI","I",18,18.3,"E","0.767","No data","Chartaceous","Sapindaceae","no","2638.52"
"170","Meliosma herbertii",7763,"MEHE","N",18,21,"E","0.42","No data","Subcoriaceous","Sabiaceae","no",""
"171","Miconia impetiolaris",7807,"MIIM","N",6,6,"E","No data","AM","Coriaceous","Melastomataceae","no",""
"172","Miconia laevigata",7808,"MILA8","N",3,13.1,"E","No data","AM","Coriaceous","Melastomataceae","no",""
"173","Miconia prasina",7813,"MIPR3","N",7.5,13.4,"E","0.705","AM","Subcoriaceous","Melastomataceae","no","5.7168"
"174","Miconia racemosa",7816,"MIRA2","N",3,3.7,"E","0.45","AM","Subcoriaceous","Melastomataceae","no","2"
"175","Miconia serrulata",7818,"MISE2","N",7.5,9.4,"E","No data","AM","Subcoriaceous","Melastomataceae","no",""
"176","Miconia sintenisii",7819,"MISI2","N",7.5,7.5,"E","No data","AM","Coriaceous","Melastomataceae","no","0.048"
"177","Miconia tetrandra",7822,"MITE4","N",18,21.3,"E","0.667","AM","Subcoriaceous","Melastomataceae","no",""
