CN,TRE_CN,THRESHOLD_TYPE,PLT_CN,STATECD,DIA,DIAHTCD,TREE_SIZE,TREECLCD,SUBPTYP,HT,ACTUALHT,VOLCFSND,VOLCFNET,VOLCSNET,VOLBFNET,REGIONAL_DRYBIOT,REGIONAL_DRYBIOM,REGIONAL_DRYBIOSL,DRYBIO_BG,DRYBIO_AG,DRYBIO_WDLD_SPP,DRYBIO_SAPLING,DRYBIO_STUMP,DRYBIO_BOLE,DRYBIO_SAWLOG,DRYBIO_TOP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,VOLBSNET
619085737126144,249698618010854,MICROPLOT,249604197010854,72,1.0,1,SAPLING,3,2.0,,,,,,,3.094706633686222,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085738126144,249698622010854,MICROPLOT,249604197010854,72,1.0,1,SAPLING,3,2.0,,,,,,,1.9310773748318046,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085741126144,249698257010854,SUBPLOT,249604199010854,72,5.0,1,SMALL,3,1.0,,,1.160841665539297,1.160841665539297,,,,,,14.31169572655537,70.86149301343083,,,5.893381650938103,43.4871198667268,,21.480991495765927,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085742126144,249699727010854,MICROPLOT,249604199010854,72,1.0,1,SAPLING,3,2.0,,,,,,,6.430789,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085743126144,249698139010854,MICROPLOT,249604199010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.2832115366025905,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085744126144,249698138010854,MICROPLOT,249604199010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.5761370008083135,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085746126144,249698572010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.864835311366765,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085747126144,249699396010854,SUBPLOT,249604200010854,72,5.0,1,SMALL,3,1.0,,,1.274909600078416,1.274909600078416,,,,,,15.718007732527424,77.82456505534027,,,6.4724837734148535,47.76030034388352,,23.591780938041897,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085748126144,249698554010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,7.789816506836627,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085749126144,249698553010854,SUBPLOT,249604200010854,72,5.0,1,SMALL,3,1.0,,,1.1225142938381736,1.1225142938381736,,,,,,13.839168164814007,68.521867496319,,,5.698800567386844,42.051310783694774,,20.77175614523739,FSJASONMEADE,2019-03-06 12:02:08,126144,JTURNER02,2019-03-08 08:30:41,126144,
619085750126144,249699397010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,4.375022520161087,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085751126144,249699398010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,4.375022520161087,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085752126144,249699399010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.2832115366025905,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085686126144,249698452010854,MICROPLOT,249604183010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.5761370008083135,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:06,126144,FSJASONMEADE,2019-03-06 12:02:06,126144,
619085753126144,249699400010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.2832115366025905,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
619085754126144,249699401010854,MICROPLOT,249604200010854,72,1.0,1,SAPLING,3,2.0,,,,,,,5.2832115366025905,,,0.3992174658785388,1.3020984815014542,,1.3020984815014542,,,,,FSJASONMEADE,2019-03-06 12:02:08,126144,FSJASONMEADE,2019-03-06 12:02:08,126144,
