"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"CROFLA",12245.9487648598,1776.93230459087,3652.94006504255,4194.82872612988,4537.07434181464,2760.14203722377,10877,1421,3063,2518,3145,1724
"CROGLA",7821.06590808532,1439.11023569782,2312.901468453,1914.80492386129,2229.50012495741,790.38988925959,4817,740,1218,811,1050,310
"CROIMP",8686.88708115387,1172.94926272877,2535.34092726876,5182.66444121042,5143.38136395003,3970.43210122126,6212,749,1590,3279,3421,2672
"CROPOE",13223.7405091561,2346.65136492811,4865.87317810208,7397.23147545662,7174.53120953962,4827.87984461151,925,592,791,854,809,217
"CRORHA",14730.1378088596,2050.81171528243,4076.379796832,5215.22600696042,5571.99776387501,3521.18604859258,11125,1130,2353,3160,3597,2467
"CSSGUI",18462.8986702356,3589.93733339943,7143.33381517418,10258.1839312166,10076.8395128511,6486.90217945166,18270,3735,7696,11733,11142,7407
"CUPAME",25378.3359496798,3802.91621412151,7930.18225988187,10463.8018777501,10540.061784761,6737.14557063952,30856,4382,9702,12807,12924,8542
"CYAARB",10804.4540770808,1586.26391891008,4038.03605666121,6017.17225255178,5573.43098846724,3987.16706955715,12695,1792,4984,6509,5990,4198
"CYABOR",21069.5514786392,3880.88802596927,7884.05956446379,11296.275890097,11199.0673142895,7318.17928832024,32128,5991,12187,17511,17339,11348
"CYNFLE",18595.7529574616,2659.80459819663,5182.32829306995,6340.37969749536,6729.0396189161,4069.23502071947,10480,1213,2007,1981,2320,1107
"CYNHAS",12249.1463597304,1481.92979522273,3224.27713764198,3981.62403024933,4361.32263858505,2879.39284336232,7390,854,1849,1388,1844,990
"CYNPOR",18692.5768713573,2817.18775513436,5361.97436594742,6189.87285469845,6575.3165786803,3758.12882354594,13634,2208,3479,2709,3258,1050
"CYRRAC",9303.40846351907,2019.45192004088,3803.80924968608,5689.43204344716,5454.67814955395,3435.22622951306,5615,2015,2971,4111,3791,1776
"DACEXC",14229.2474240236,2132.0248213138,5038.00370305887,7835.64646718436,7461.63459758874,5329.60977627494,18242,2677,6439,10586,9908,7231
"DAPAME",17424.3047083337,2387.69565142225,5308.39166764123,8759.78646839969,8412.12425563391,6024.42860421166,6036,1302,2480,4283,3893,2591
"DAPHEL",17858.9069262389,3154.05940541765,5804.4044998372,6352.13517737482,6604.30088928156,3450.24148386391,9985,2053,3158,2509,2876,823
"DAPPHI",9867.53173370927,2074.55240127374,3992.35745921137,6486.99772179849,6077.12316817942,4002.57076690567,8994,2085,3785,6391,5812,3727
"DELREG",19842.7157647824,2323.52301578736,5075.81524257641,7839.46538491827,7796.70933610247,5473.18632031512,11378,930,1550,2564,2810,1880
"DENARB",19110.6125627505,3660.34134417679,7065.7712292755,9930.80015881546,9692.44535630662,6032.10401212983,18034,4036,7540,10001,9611,5575
"DENLAU",16285.4532386474,2218.75816544797,4924.4340414349,7922.90242802305,7687.3187172194,5468.56055177143,12811,1907,4704,7607,7231,5324
"DIOSIN",12306.3580345847,2755.33469060529,4748.78342596628,5070.72827871423,5315.84578693379,2560.5110963285,4584,1825,2677,2330,2610,785
"DITMYR",5479.87417901841,927.156144915622,1937.07831859642,2485.47951726423,2283.30448546086,1356.14834054524,2485,800,1407,1832,1557,757
"DRYALB",25804.8171283603,4287.12445116043,8329.25932812691,11080.3894329667,11185.5093729496,6898.38492178917,18030,3664,5726,4816,5466,1802
"DRYGLA",14436.3691355232,2729.30728404224,5517.74192845449,8322.02899695188,8034.73778691329,5305.43050287105,13226,2498,5458,9081,8374,5876
