"","CODE","Species","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","D_51","D_91","D_00","D_77"
"91","ERYPOE","Erythrina poeppigiana",3743,7139,11946,11913,8170,1.89486522178798,NA,2.93960639121031,NA,2.66281376957495,1.46135664747321,1304.39281422546,1212.11034793925,1163.31291400856,1251.32796124073
"92","ERYROT","Erythroxylum rotundifolium",1324,2585,2240,2792,1468,NA,NA,7.14357826840519,NA,7.38926611478743,8.74116455909828,1694.47874511717,1317.35838078571,1227.85313368488,1383.41337886784
"93","ERYRUF","Erythroxylum rufum",1158,1727,1458,1686,528,0.414046069708828,NA,0.394116273542628,NA,0.712170818936353,1.1893674331218,1785.83950827733,1707.56199264334,1659.05019539418,1620.31013940753
"94","EUGAXI","Eugenia axillaris",901,1738,1382,1726,825,0.542454755873378,NA,NA,NA,NA,NA,1974.43804639062,1620.80038853659,1424.08944306335,1571.13540849171
"95","EUGBIF","Eugenia biflora",3607,8424,9527,9873,6266,8.31081099693297,NA,8.88967512975916,NA,9.90642069030774,11.7475286084209,1352.64127170263,1166.68872061157,1127.22521893164,1191.13677776119
"96","EUGBOR","Eugenia borinquensis",1368,2828,3543,3168,1800,1.79700110038005,NA,1.37988190174918,NA,1.04520196308206,1.47708877074157,1364.52555399068,1146.45524178986,1156.65332571618,1334.95419390563
"97","EUGCON","Eugenia confusa",333,420,434,445,112,0.370418637943092,NA,1.04170197684083,NA,0.0272548719243315,0.0296615737937593,1879.33891053381,4053.24573341001,2045.09494777825,1684.53059410968
"98","EUGCOR","Eugenia cordata",1072,2888,6110,6201,5129,0.0550920893354143,NA,NA,NA,NA,NA,1429.98210197534,1203.1470028356,1136.27902396944,1222.03895268216
"99","EUGDOM","Eugenia domingensis",3464,7309,7913,7710,4246,NA,NA,NA,NA,NA,1.10781657805618,1373.16468908603,1146.1513919087,1120.06364647476,1185.93967592006
"100","EUGLIG","Eugenia ligustrina",1946,3379,2872,3465,1519,NA,NA,2.9004106472854,NA,1.79719675975648,3.09009563325918,1550.4639085086,1350.58922672311,1306.20754706556,1356.45704338522
"101","EUGMON","Eugenia monticola",4305,9806,10669,11180,6875,12.4684208613633,NA,23.3921089548511,NA,23.5925846721111,20.2899086281652,1373.53599050132,1163.95590689014,1137.59586096202,1218.27243800757
"102","EUGPSE","Eugenia pseudopsidium",2927,6104,6131,6277,3350,0.0550920893354143,NA,3.82929003815771,NA,1.76365733492528,1.90072820013738,1586.52241507222,1299.05250589925,1287.09027428334,1316.19989856529
"103","EUGRHO","Eugenia rhombea",1807,4563,6465,6993,5186,5.24640767912475,NA,4.10832557346845,NA,7.3776925091827,6.85886467098648,1429.99142447009,1246.40273467738,1181.00388741185,1248.83546673754
"104","EUGSTA","Eugenia stahlii",1979,3504,5772,5189,3210,0.101281473467492,NA,0.13775168299905,NA,0.0272548719243315,0.0296615737937593,1265.15039398112,1077.32283924111,1035.22617727023,1315.14629899889
"105","EUPPET","Euphorbia petiolaris",836,1580,1176,1572,736,NA,34.5993609230769,NA,63.5403195354492,NA,NA,1619.72501167424,1310.58982951056,1239.75967988885,1284.71158861735
"106","EXOCAR","Exostema caribaeum",918,1875,1351,1826,908,10.6565964362046,14.4164003846154,6.987343892704,17.5610360296756,8.77217814398146,11.5858340204618,1529.02631070473,1258.69980940903,1207.56120024453,1261.81815034479
"107","EXOPAN","Exothea paniculata",2493,4613,4062,4372,1879,NA,NA,2.02907954945006,NA,2.03589418231545,2.21563315611236,1355.11302417968,1271.21024243773,1235.21305836891,1271.45293299839
"108","FAROCC","Faramea occidentalis",3379,7334,8116,8089,4710,2.05723555965231,NA,1.40801444007499,NA,3.79749633743566,4.80053850491011,1339.50336292522,1169.18916727387,1152.46477759224,1208.54272926751
"109","FICAME","Ficus americana",3172,6873,9469,8864,5692,0.0275460446677071,NA,0.0271622021158041,NA,0.0272548719243315,0.0296615737937593,1354.20008467928,1150.07737286971,1115.23095412274,1274.36885603335
"110","FICCIT","Ficus citrifolia",4622,10099,12419,12911,8289,1.98016599763923,3.11474338461538,1.35437224563416,3.35191229162656,1.41245500825733,2.67353340311813,1328.54664438966,1160.23658850524,1122.89833425109,1199.27354913704
"111","FICTRI","Ficus trigonata",3957,9055,14746,14337,10380,0.0275460446677071,NA,0.0543244042316082,NA,0.054509743848663,0.0593231475875186,1350.30802730653,1214.58738464796,1164.34931454491,1223.82790940684
"112","GENAME","Genipa americana",2475,6421,8315,8039,5564,2.40010815292769,NA,NA,NA,NA,NA,1468.63122958659,1268.86957413525,1229.09091852634,1291.29520215848
