"sp","sum","sum.1","sum.2","sum.3","sum.4","sum.5","sum.6","sum.7","sum.8","sum.9","sum.10","sum.11","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"SAMDOD",25412.1530224308,3567.83912709355,7385.56986465305,9796.03742484003,10062.3197953776,6494.480668284,14219,1969,3386,3987,4429,2460,NA,NA,NA,1.5722584889835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SAMSAM",19536.8432403542,3380.92095737532,7122.9602293428,10074.8906677458,10057.0099342819,6676.08897690661,21929,3739,7676,11785,11956,8217,0.0687567889745246,0.0986624664578293,0.15247323943302,0.0997950110880602,NA,NA,NA,NA,0.0687567889745246,0.0986624664578293,0.15247323943302,0.0997950110880602,21.1573991736515,4.56985268246928,3.16791561948645,6.98752967730948,1,1,3,1
"SAMSPI",25801.2513081133,4155.05519366264,8358.27441588044,11540.4316865206,11462.0452489257,7306.99005526304,17925,3738,6781,7734,7578,3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAPLAU",18025.3350759707,3170.58181331679,6397.63345261291,8969.50006541982,8709.31037025154,5538.72855693474,9869,2152,4276,6725,6021,3869,1.91559826519783,0.141171166241107,0.113091842348581,0.155010693315492,0.0854716528383138,0.056468466496443,NA,NA,1.20634006101091,0.141171166241107,0.113091842348581,0.155010693315492,6.24953643514835,1.52239657594174,2.11194374319404,35.1343125329893,3,5,4,5
"SAPSAP",19511.7519168165,3387.02780199982,7137.56726403162,10046.5408340972,10024.6746427473,6637.64684074745,29190,5114,10789,15194,15161,10047,0.113962203784418,NA,NA,NA,NA,NA,NA,NA,0.113962203784418,NA,NA,NA,1.28472898789956,NA,NA,NA,2,NA,NA,NA
"SAVSES",9948.42153526693,1206.14052306456,3150.10899446178,4506.57820731764,4647.6731086591,3441.53258559454,7662,735,2412,2420,2913,2178,0.737748755133027,0.703054254512936,NA,NA,NA,NA,NA,NA,0.383119653039566,0.351527127256468,NA,NA,2.1277746267525,10.1942867373296,NA,NA,1,1,NA,NA
"SCHFRU",24719.8170181736,3797.79952270538,7665.70892119966,9956.77704552934,10153.059680121,6355.26015741564,30264,4337,8728,11183,11863,7526,NA,0.703054254512936,1.05597186690164,2.34418163788045,NA,NA,NA,NA,NA,NA,0.703981244601093,0.385961574448474,NA,NA,15.2011134377336,51.5387901148821,NA,1,2,5
"SCHGLE",14461.2535591163,1967.43254406191,4797.06833416596,8109.88474540785,7803.29485191777,5835.86230785586,21155,2884,7084,12066,11592,8708,0.0284905509461046,NA,NA,NA,0.0284905509461046,NA,NA,NA,0.0284905509461046,NA,NA,NA,2.83703282620885,NA,NA,NA,1,NA,NA,NA
"SCHMOR",17460.4686107612,2764.82169781532,6240.98506161477,8576.46402588207,8210.21590798907,5445.39421017375,9485,1458,3990,4923,4420,2962,6.30089897591278,5.32971703271451,4.77594298972462,3.83502425324273,1.2250936906825,1.27054049616997,0.681328163215807,0.372025663957181,4.09951047138314,3.92360852368864,4.03716947609358,3.83502425324273,10.3111247274459,1.6386846428576,56.8444518365063,8.57639125300255,27,30,36,35
"SCHOBO",6162.4087790153,1990.57548472518,3084.31323503796,2758.12410863815,3037.08764941338,1046.5121646882,8490,2930,4485,3901,4325,1395,0.0284905509461046,0.351527127256468,0.351990622300547,0.385961574448474,NA,NA,NA,NA,0.0284905509461046,NA,NA,NA,10.1504565828113,NA,NA,NA,1,1,1,1
