"","X","SCIENTIFIC_NAME","CODE","tpa_2004","tpa_2008","tpa_2009","tpa_2013","tpa_2014","tpa_2019","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","AI_51","AI_77","AI_91","AI_00","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass","PC1","PC2"
"40",56,"Comocladia glabra","COMGLA",0.342872593275385,NA,0.338179924908343,NA,1.01794709115772,1.47708877074157,1822,2864,2457,2753,931,96.5694358627323,96.5324767775453,96.9162448629392,96.6339038055444,0.434476269620318,-1.20929837319925,-0.106568623360607,1.00951896995783,-0.858932737686093,0.997248754091825,-0.453821653802787,-1.6807998996597
"41",58,"Cordia alliodora","CORALL",2.81456407554947,NA,5.23113434933842,NA,4.48707237991469,3.16185681331308,2338,6106,11167,10795,8457,93.561052620954,90.0762514011926,88.4446899953485,87.0801063000436,-0.615072548772193,-0.335215846566455,-0.100954615703938,-0.0130327785343078,-1.21490753539022,-0.181930474967658,-0.194768170929475,-0.542807065525168
"42",59,"Cordia borinquensis","CORBOR",3.30622169682012,NA,1.74522402877332,NA,1.07245683500639,1.1671397256437,2363,5732,8701,7929,5566,95.229557728868,92.1596186071183,89.9240663038534,89.6908325547932,-0.0821837341352817,0.564877137401201,-0.0825457901916283,0.327175676654715,-0.502957939981964,-0.178379310009643,0.0941670185411631,0.00404314157751989
"43",61,"Cordia laevigata","CORLAE",2.32769667679263,NA,NA,NA,NA,0.148307868968796,4401,9126,11534,12164,7763,90.7179176991775,85.8198903850191,84.8069401055259,83.6800088419583,-1.15559848745776,-0.601221957268707,-0.10008077234959,-0.0759015606919601,-1.27423666834091,-0.180107543622544,-0.534303717163724,-0.504986637943533
"44",63,"Cordia sulcata","CORSUL",2.75534065850853,NA,6.3132635276409,NA,6.5182576728215,6.25919891374142,1960,4609,9058,8327,6367,94.6303768853106,92.2146162917679,89.6798002659513,89.0415350840569,-0.707327214528339,1.40311331832276,-0.00183338947496491,-0.547784340428079,1.15825778263731,-0.17590060681619,0.281556658348805,1.61850814900298
"45",66,"Croton poecilanthus","CROPOE",1.2214400925001,NA,1.09602638107244,NA,0.705886266029481,0.0296615737937593,587,788,840,797,210,99.2514497427933,99.1577160981986,99.1710441231432,99.1386737714052,-0.579397425146293,3.21641380343751,-0.0849230145914054,0.0184332001750329,-0.265641408179211,0.19010586688528,1.31137598629174,1.39018059149984
"46",67,"Crossopetalum rhacoma","CRORHA",3.77159852602923,NA,4.39633902380845,14.4409817126021,4.41110406168347,6.27762727565168,637,1120,781,960,323,98.5499499469221,97.7899902738256,98.3433673835409,98.0045033276027,1.43905555691458,1.75053871834467,-0.109479204351559,-1.19806412955548,-1.3335658012916,-0.183562518762227,2.56919178776017,-0.15983994714353
"47",68,"Cupania americana","CUPAME",3.72596041885737,NA,4.98339888264224,NA,4.00913866943157,4.49292827137791,3876,8075,11797,11862,7986,91.5309856548333,87.9653270373072,86.2115831991357,85.5899616588037,-1.02998322765755,0.28587194134585,-0.0446420322592983,-0.0783990435211678,0.208991655426295,-0.161459053444987,-0.43890729326117,0.634764426915638
"48",70,"Cyrilla racemiflora","CYRRAC",0.137730223338536,NA,0.0271622021158041,NA,0.0272548719243315,0.0296615737937593,719,799,836,815,96,99.0045685289945,98.983543890735,98.9944991558966,98.9919326555696,-0.587175551176585,0.671541871356851,-0.105789860457291,-0.858370791890738,-0.265641408179211,0.0940078458862861,0.642314133465406,0.418571485420662
"49",71,"Dacryodes excelsa","DACEXC",0.673425129287871,NA,1.14420580538688,NA,1.15092587717855,1.09417033184182,2053,4248,6844,6184,4131,95.7515743606884,93.5044572447458,91.4924733606589,91.2696463591526,-0.998952148012052,-0.304211784938611,-0.000249148982020566,-0.155202246310007,1.51423258034144,0.0611639253987689,-0.923473945862877,0.987600771807769
"50",74,"Dendropanax arboreus","DENARB",8.20034259055233,NA,9.04711781541694,NA,9.9497478359282,8.42294278858191,4433,8581,13941,13392,8959,90.5909475262055,88.0534583779962,85.8101369065165,84.7180180096109,-1.24376489840353,-0.314211803784312,-0.0955574860222728,1.00142876833544,1.75154911214419,-0.185038987711018,-1.91001322342746,1.03472236166282
"51",75,"Drypetes glauca","DRYGLA",0.425510727278506,NA,0.338179924908343,NA,0.0272548719243315,0.0296615737937593,1500,2149,2580,2400,900,97.7794315210979,97.515340134877,97.2449193576922,97.2264364835879,0.0579131272646219,-0.316199797934946,-0.0983591726558422,-0.0169393194948229,0.208991655426295,0.203117319329382,-0.105871418789183,-0.160097161509131
"52",76,"Erithalis fruticosa","ERIFRU",1.37149037310154,NA,0.676359849816685,NA,0.708563373482379,0.0318265901782327,1723,2890,2311,2749,1026,96.2399026246324,94.5179256074003,95.1030477826867,94.3388820736261,1.91570224498709,2.49063460137885,-0.107276358062764,-1.25421345309933,-1.39289493424229,0.152070619548246,3.3011252311874,-0.124999695865367
"53",77,"Erythroxylum areolatum","ERYARE",NA,0.462926615384615,0.788232547085257,NA,2.23352328584869,2.41520442824486,676,1129,719,952,276,98.5226246092747,97.623730226452,98.2562039329739,97.7185473378811,1.38954818128396,-0.354110465266568,-0.107193709705539,-0.336048627146725,-0.858932737686093,0.780221901549103,1.19331321396963,-1.31988207780149
"54",78,"Erythrina poeppigiana","ERYPOE",1.89486522178798,NA,2.93960639121031,NA,2.66281376957495,1.46135664747321,3736,7137,11951,11916,8180,91.1362555280058,88.6597056148964,87.6015715761233,86.2234932701169,-2.03336277999096,-1.23181162667423,-0.00586306697105447,3.23733007081568,1.03959951673593,-0.155570286903966,-3.91810862284497,0.200690312832491
