"sp","total_hab_raw","fcover_51_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_00","tot_change"
"MICRAC",21878.7144184886,3107.91156745329,10145.7164554093,7037.80488795601,15760,2375,8700,6325
"MICSER",19937.4714807384,2939.2658396028,10122.140857501,7182.87501789816,14995,2094,9479,7385
"MICSIN",10125.1652304493,1976.81418904988,5916.86371873133,3940.04952968145,5481,1592,3538,1946
"MICTET",13194.4520665023,1969.40945975645,7132.52738047042,5163.11792071396,18931,2630,10114,7484
"MICTHO",10669.7169213832,833.881074654244,2711.05481653418,1877.17374187993,13291,901,3006,2105
"MORCIT",19290.8179260788,2047.15277822339,6066.34885780769,4019.1960795843,14936,971,2549,1578
"MOSXER",2752.70211900235,487.732613872044,685.133589824297,197.400975952253,3597,649,846,197
"MOUHEL",14979.6166171804,2639.1566478163,6020.43544185534,3381.27879403904,547,351,445,94
"MUNCAL",20346.4964371573,2254.27490433108,6923.93855034054,4669.66364600946,16028,1058,3579,2521
"MYRAMA",13259.8222410923,2478.62798738164,6472.26313729673,3993.63514991509,12544,2346,5644,3298
"MYRBOR",6659.05332435468,903.607661374135,3205.35328157019,2301.74562019606,7244,933,3005,2072
"MYRCER",25578.0182803236,4065.0278153196,10964.4359388202,6899.40812350065,29106,5160,13588,8428
"MYRCIT",9641.77975465404,1527.1830119458,4393.21773125464,2866.03471930884,6396,1093,2308,1215
"MYRCOR",14010.9156882931,2165.70042947307,7122.38187931664,4956.68144984357,11485,1978,7148,5170
"MYRDEF",20718.8612076156,3059.4220328033,9578.61297978088,6519.19094697759,13790,2167,7535,5368
"MYRFAL",5716.51069919358,1184.90212848637,3130.12785701838,1945.22572853201,7216,1699,4183,2484
"MYRFLO",21965.4075908493,3262.92975412309,9136.36181698553,5873.43206286244,682,18,119,101
"MYRGUI",27147.653545022,4165.76628386974,11573.5175770223,7407.75129315257,13355,1526,3890,2364
"MYRSPL",23899.1298852861,3366.41153389215,11238.0338695794,7871.62233568728,17111,2341,9876,7535
"NECCOR",20434.4263476148,3182.91169952753,8054.79106049112,4871.87936096359,27695,4077,10608,6531
"NECKRU",20511.2568434579,2399.34448711807,8432.66268901341,6033.31820189534,28919,2943,11417,8474
"NECMEM",21488.9148583226,3410.72223805264,11306.3680159021,7895.64577784948,20933,2544,11308,8764
"NECPAT",20806.9083783906,3778.00314072333,8738.92910843529,4960.92596771196,14185,3053,4748,1695
"NECTUR",22506.3751029526,3874.78842035728,10583.241725395,6708.45330503769,11799,3188,6521,3333
"NEEBUX",14167.0111658098,2425.24456666922,4914.2079811967,2488.96341452748,13701,2622,4160,1538
"NEORES",14467.2298612399,2823.50144416001,6183.67287311237,3360.17142895237,14125,3007,5219,2212
"OCHPYR",26043.5767067177,3651.66118664667,11742.4277904658,8090.76660381909,25320,3067,13627,10560
"OCOCUN",21085.0429264233,3389.98939163983,9323.81003471464,5933.82064307481,547,351,445,94
"OCOFLO",21942.252795279,3877.96196350455,11512.7749083303,7634.81294482574,34077,6037,18011,11974
"OCOLEU",21800.0296115484,3654.09539314173,11283.484677745,7629.3892846033,21577,3433,12529,9096
"OCOSPA",3355.29724263225,962.587009017414,2088.82209703012,1126.23508801271,1853,1087,1495,408
"OCOWRI",15203.2188886313,1938.1579566953,7184.2140940486,5246.0561373533,7432,1359,3943,2584
"ORMKRU",14824.3902629921,2081.15648415592,6990.06752327434,4908.91103911842,17100,2516,8971,6455
"OSSKRU",17147.0544198416,2287.87267485447,9256.19563475624,6968.32295990176,12886,1812,8312,6500
"OURLIT",10216.950952862,969.816527021641,3755.88943936693,2786.07291234529,8964,837,2811,1974
"OXALAN",17940.9399496987,3479.69733854383,9195.64295647666,5715.94561793283,9350,2984,4468,1484
"PALALP",2102.36541938154,501.068254993879,1477.31446788186,976.246212887983,4960,889,3305,2416
"PALCRO",26698.8348716609,3515.24347475171,11724.3314700574,8209.08799530566,19195,1583,7710,6127
"PALRIP",21815.6147134751,3152.23163665831,10340.0362344831,7187.80459782481,24390,3030,12713,9683
"PARCRE",23527.700719133,3807.74177342281,10592.2166990712,6784.47492564842,4777,867,2706,1839
"PERAME",28296.8344250321,4306.22558236122,12271.1631500721,7964.93756771088,42352,6048,17717,11669
"PETDOM",25311.3013457954,3526.9257112667,10823.3616981693,7296.43598690256,21804,3175,9687,6512
"PHIMYR",10920.022376772,1957.85740135983,3822.90119635034,1865.04379499052,4021,591,1062,471
"PHLCOW",23964.8759083748,3370.99922868609,10007.0735866874,6636.07435800135,9858,1036,2784,1748
"PHYCUN",4347.95352668872,428.187291921905,1184.98534027377,756.798048351868,6886,600,1550,950
"PHYEPI",15591.4477991841,2725.59906662442,5339.77793577407,2614.17886914965,16885,3312,5041,1729
"PHYJUG",18975.9355273852,2146.38567534448,6202.48605244487,4056.10037710039,11217,814,1924,1110
"PICACU",12734.1804662296,1576.73178174258,4572.15116521451,2995.41938347193,14605,1437,5272,3835
"PICEXC",25158.2910235878,3831.85962680727,10629.033275092,6797.17364828475,39906,6002,16614,10612
"PICPEN",24359.656085717,3384.45285807224,9464.73797831731,6080.28512024507,28348,3689,10322,6633
"PILRAC",7743.20516640632,1415.98572799125,2146.00267574698,730.016947755728,2339,411,610,199
"PIMRAC",20537.8747351607,3176.95570120215,8851.94766259938,5674.99196139723,14004,2751,5421,2670
"PINCAR",17138.0847816123,2288.54124910198,9208.34233233798,6919.801083236,26014,3428,14103,10675
"PINCOR",21964.878902331,3897.9665033035,11563.249719698,7665.28321639448,27315,5164,15563,10399
"PIPADU",21336.7367147999,3622.38226483949,11478.235489076,7855.85322423652,26352,4816,14691,9875
"PIPAMA",28491.1081800237,4011.45714660734,12759.1970211193,8747.73987451196,39122,5374,17428,12054
"PIPBLA",21237.6036824863,3615.68911159225,11135.7496557776,7520.06054418534,21823,3221,12276,9055
"PIPGLA",19476.0984255411,3163.32963993121,10780.8989178762,7617.56927794497,18882,2880,11302,8422
"PIPHIS",24462.7121948004,3528.44268536568,11722.1475064456,8193.70482107997,23392,3031,13158,10127
"PIPJAC",25654.0859504137,3911.71772106364,10545.4443937372,6633.7266726736,30519,4409,10886,6477
"PIPMAR",18866.2545674182,3366.36572055705,9810.71448701061,6444.34876645356,16332,3364,8058,4694
"PIPUMB",21049.5822329111,3295.82899810746,11190.8024567105,7894.97345860302,20933,2544,11308,8764
"PISALB",14545.6621004436,2040.18255035114,5861.11865736172,3820.93610701058,8645,975,2188,1213
"PISCAR",4997.17139789319,398.848351793489,1343.26248437384,944.414132580352,4636,326,812,486
"PISSUB",21801.0267010741,3863.30914744362,11475.6703189984,7612.36117155477,34077,6037,18011,11974
"PITDUL",12766.596639029,1451.02734356406,3934.34517889905,2483.31783533499,6264,642,974,332
"PITUNG",5040.2181576604,774.980767653823,2073.28606571723,1298.30529806341,4507,662,1318,656
"PLUALB",21090.8734063527,2603.11670941462,8125.7216289922,5522.60491957757,22066,2103,7647,5544
"PLUCAR",26395.2818844952,4019.59131703898,11082.682674557,7063.09135751799,38849,5409,15592,10183
"PLUOBT",10210.8519381264,2177.80950097775,5947.52537768532,3769.71587670757,1475,853,1220,367
"PODCOR",17129.3805911262,2848.57880097069,6859.01796808466,4010.43916711397,12016,1212,1914,702
"POIFLO",27823.7277861089,4024.62537257373,11293.4404712096,7268.81509863585,27655,3673,8661,4988
"POIPUN",16405.5943356771,2114.84570504911,7360.22437985428,5245.37867480516,14650,1691,7653,5962
"POUDIC",23466.6054534866,3814.09568335302,9288.76613214519,5474.67044879217,14013,2842,4310,1468
"POUMUL",25573.5587093495,4054.81209657714,10937.6016692743,6882.78957269713,40496,6358,17079,10721
"PREMON",12692.974516008,2009.19770811498,6195.11364377243,4185.91593565745,8946,1972,5175,3203
"PROJUL",5748.62322399312,714.060873201984,1599.71542792935,885.654554727362,7581,887,1648,761
"PROPAL",8694.3841350265,1017.08049155334,2371.7449668489,1354.66447529555,15872,1486,3646,2160
