"sp","total_hab_raw","fcover_51_raw","fcover_77_raw","fcover_91_raw","fcover_00_raw","tot_change_raw","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"CASSYL",25606.3706267616,4118.46790154371,8389.80103769619,12290.7658169623,12129.4611342074,8010.99323266372,30173,5099,10100,14491,14314,9215,44.9111091975578,53.3962150294636,44.3283531061044,35.3217745213078,NA,NA,NA,NA,5.1190358711213,10.4016062714334,13.0441158543878,12.3393471883146,0.354629102093461,25.6614804350873,1.79474538522806,22.3407561272584,27,39,37,36
"CECSCH",21513.518709911,3752.69385617226,7601.68078422546,10490.5098543409,10299.2269579694,6546.5331017971,14031,2460,5708,8304,7611,5151,15.0261354133462,10.4217197194498,12.154884410663,9.75683449248886,2.10336159323027,2.24911744889372,0.766147044977243,0.0930064159892951,9.20484199591303,8.95746717969844,11.0641202747314,8.59894976914344,0.354629102093461,21.3242038716066,0.351990622300547,125.172214709274,58,68,69,52
"CEIPEN",25636.9926519394,3886.01290997863,7677.5653899312,10255.624602139,10480.8690987825,6594.85618880391,15030,1728,3025,3840,4262,2534,NA,0.437905391230215,0.41505585191764,0.445375904301178,NA,NA,NA,0.0310021386630984,NA,0.437905391230215,0.41505585191764,0.445375904301178,NA,9.31147446809544,7.42252744006448,NA,NA,2,2,2
"CELTRI",11972.3008269379,2287.59012392117,4494.9565199702,5673.22714178776,5904.91236420535,3617.32224028418,3787,736,1279,1050,1239,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESCIT",26065.6160635948,4267.03048694134,8485.30247020721,11707.0587910414,11725.902739346,7458.87225240469,32128,5991,12179,17499,17328,11337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CESMAC",19256.4110000208,3540.17369607463,6733.91903965175,9826.65308977664,9537.67299056426,5997.49929448962,11342,2663,4707,8000,7310,4647,0.119850047325576,0.794085774057738,1.47754702726208,1.60067068017311,0.0854716528383138,NA,NA,NA,0.119850047325576,0.0328874888192764,NA,0.41437376563808,15.7509083432601,10.0726727837959,1.40796249859295,0.385961574448474,3,3,3,3
"CHICOM",17679.7660608217,2945.76969444705,5853.12793497695,6758.79586454993,6798.89536983566,3853.12567538861,9115,1587,2929,2912,2798,1211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIDOM",20788.5803611875,3764.76223097742,7282.95891834795,9829.10782124102,9803.85945510864,6039.09722413123,19240,4377,8384,11042,10769,6392,0.383119653039566,0.436229827001132,0.760527165775383,1.57484843645699,NA,0.0282342332482215,NA,NA,0.383119653039566,0.0847026997446644,0.408536543474837,0.802925287560046,16.5472207896696,0.351527127256468,9.15175623146341,0.771923148896948,2,3,4,4
"CHIHOL",6859.26923179906,1771.4806861775,3023.46463199612,3407.75474636117,3549.85933806794,1778.37865189044,2266,663,1083,888,1011,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIVEN",24815.09669213,4102.36073936522,8222.94441971183,10849.1190658957,10811.0434926972,6708.68275333196,19262,3173,6501,7067,6893,3720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
