"","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"SOLENS",5121,10473,14620,14632,9511
"SOLRUG",2079,5618,10302,9933,7854
"SOLTOR",1681,4622,7492,7565,5884
"SPACAM",4140,8869,13796,13545,9405
"SPOMOM",1692,4255,8056,8050,6358
"STAMON",734,1206,1301,1533,799
"STEACU",861,1626,1587,1823,962
"STEAPE",5946,11780,15644,15873,9927
"STESIN",3043,5323,5820,6088,3045
"SWIMAC",6473,13079,18105,18149,11676
"SWIMAH",1045,1660,2292,2536,1491
"SYMMAR",4207,7063,7301,7794,3587
"SYMMIC",775,1346,1567,1400,625
"SYZJAM",2821,7120,12345,11769,8948
"SYZMAL",3465,8168,14156,13541,10076
"TABCIT",3132,7748,13722,13096,9964
"TABHAE",2674,6130,11375,11357,8683
"TABHET",2134,4637,4728,4768,2634
"TABKAR",1893,2987,2576,2893,1000
"TABRIG",1188,3382,4516,3956,2768
"TABSCH",1505,2909,5026,4534,3029
"TAMIND",1449,3498,4638,5171,3722
"TECGRA",6279,12200,16078,16318,10039
"TECSTA",1992,4496,6109,6575,4583
"TERCAT",4392,9077,11428,12082,7690
"TERSTA",2686,4556,4502,4885,2199
"TETBAL",3787,8250,12819,12654,8867
"TETBIF",1517,2338,4199,3843,2326
"TETELA",2627,5918,5827,6055,3428
"TETURB",2318,5159,8546,7777,5459
"THEGRA",1778,3991,6373,6413,4635
"THEPOP",1617,3284,4727,5121,3504
"THOPOR",709,1280,885,1140,431
"THOSTR",2499,3998,3334,3780,1281
"THRMOR",1955,3589,4205,4786,2831
"TOUFIL",3277,6458,8804,9054,5777
"TRELAM",1343,2391,5447,5303,3960
"TREMIC",3307,7556,12044,11869,8562
"TRIHIR",3792,8142,12469,12628,8836
"TRIPAL",3636,8035,11903,11370,7734
"TRITRI",506,877,615,744,238
"TRORAC",3111,6217,6443,6446,3335
"TUROCC",2826,6054,10058,9451,6625
"UREBAC",3803,6355,10915,10900,7097
"VACFAR",1061,3329,3053,3728,2667
"VARBEL",333,420,434,445,112
"VARPOL",722,2324,2438,2290,1568
"VARRUP",393,604,442,504,111
"VITDIV",2797,6700,11602,11205,8408
"WALLAM",1565,2382,1992,2280,715
"XYLBUX",3371,5418,4506,5221,1850
"XYLSCH",333,420,434,445,112
"ZANFLA",2516,4024,3359,3812,1296
"ZANMAR",3302,8109,10571,10704,7402
"ZANMON",911,3644,5290,5633,4722
"ZANPUN",551,1118,1461,1665,1114
"ZAPPOR",961,2430,2134,2695,1734
"ZIZRET",560,930,548,767,207
