"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change"
"POIFLO",25590,3603,6711,7565,8247,4644
"POIPUN",13634,1712,3379,7257,7296,5584
"POUDIC",13133,2752,4382,3657,4121,1369
"POUMUL",37770,6263,12177,16031,16264,10001
"PREMON",8587,1954,3925,5648,5074,3120
"PROJUL",6895,861,1697,1181,1581,720
"PROPAL",14572,1480,3127,2863,3475,1995
"PRUMYR",5633,2149,3299,2919,3236,1087
"PSESPU",4024,1504,2279,1913,2187,683
"PSIAMP",7220,2201,3539,3542,3926,1725
"PSIGUA",25049,3053,7762,11525,11252,8199
"PSYBER",11062,2179,4742,7617,6925,4746
"PSYBRA",15267,2163,4978,9512,8754,6591
"PSYDOM",17637,2817,5939,5819,5887,3070
"PSYGRA",20299,2936,6865,11653,11242,8306
"PSYMAL",2940,813,1478,1940,1648,835
"PSYMAR",11422,1189,1914,1648,1905,716
"PSYPUB",20704,4320,7657,8757,8622,4302
"PTEIND",37770,6263,12177,16031,16264,10001
"QUACYN",9487,1000,2722,2407,3026,2026
"QUAIND",6671,832,1714,1128,1485,653
"QUATUR",22796,3478,6804,7776,7905,4427
"RANACU",20786,3026,5831,5080,5699,2673
"RAUNIT",22305,2370,5970,6790,7428,5058
"RAVURB",1868,611,1032,1372,1158,547
"REYKRU",12388,3393,5733,6275,6539,3146
"REYUNC",5074,698,1183,785,1024,326
"REYVIV",1188,357,515,368,415,58
"RHIMAN",10733,815,1536,1971,2050,1235
"ROCACA",7608,911,1883,1330,1799,888
"RONINE",18360,3650,6132,6215,6681,3031
"ROYBOR",23524,3030,7757,11350,11415,8385
"SAMDOD",20276,3289,5580,6096,6806,3517
"SAMSAM",10213,1020,2644,2558,3155,2135
"SAMSPI",11111,2382,4456,5160,5091,2709
"SAPLAU",20359,3871,8067,11616,11016,7145
"SAPSAP",6542,886,1607,2433,2601,1715
"SAVSES",6144,670,2297,2285,2735,2065
"SCHFRU",28127,4178,8156,10110,10874,6696
"SCHGLE",20415,2944,6875,11673,11259,8315
"SCHMOR",18424,2812,6148,11159,10276,7464
"SCHOBO",8218,2860,4429,3812,4250,1390
"SENPOL",5444,860,1399,1018,1267,407
"SENSIA",42075,6489,13138,18163,18260,11771
"SIDCUB",9230,1914,2997,2694,3023,1109
"SIDFOE",18049,3347,5374,4459,5154,1807
"SIDOBO",4114,788,1271,899,1116,328
"SIDPOR",15399,3273,5371,5667,5886,2613
"SIDSAL",17471,3327,5312,4378,5022,1695
"SIMTUL",14356,2509,4363,8923,8560,6051
"SIPDEN",4729,868,1719,2895,2731,1863
"SLOAMY",8218,2860,4429,3812,4250,1390
"SLOBER",7182,1794,3093,4916,4414,2620
"SOLENS",27399,5126,10464,14601,14608,9482
"SOLRUG",18654,2076,5624,10285,9925,7849
"SOLTOR",19405,1668,4648,7499,7583,5915
"SPACAM",30201,4144,8883,13792,13539,9395
"SPOMOM",20539,1700,4261,8058,8064,6364
"STAMON",7072,739,1193,1298,1519,780
"STEACU",6546,854,1611,1564,1799,945
"STEAPE",37211,5928,11762,15599,15822,9894
"STESIN",11713,3050,5308,5823,6080,3030
"SWIMAC",41381,6461,13066,18062,18111,11650
"SWIMAH",8267,1044,1648,2284,2518,1474
"SYMMAR",22200,4195,7031,7273,7753,3558
"SYMMIC",3761,765,1350,1581,1398,633
"SYZJAM",21736,2839,7136,12333,11782,8943
"SYZMAL",24585,3477,8179,14136,13548,10071
"TABCIT",24026,3142,7764,13704,13106,9964
"TABHAE",24354,2671,6114,11340,11340,8669
"TABHET",15401,2113,4633,4721,4748,2635
"TABKAR",4913,1895,2973,2573,2882,987
"TABRIG",8972,1203,3408,4522,3992,2789
"TABSCH",7042,1503,2907,5012,4514,3011
"TAMIND",16276,1438,3455,4620,5152,3714
"TECGRA",37770,6263,12177,16031,16264,10001
"TECSTA",22169,1977,4478,6099,6549,4572
"TERCAT",31811,4372,9057,11405,12062,7690
"TERSTA",9789,2687,4533,4509,4862,2175
"TETBAL",30921,3774,8245,12772,12622,8848
"TETBIF",5294,1509,2332,4183,3825,2316
"TETELA",19142,2613,5911,5836,6045,3432
"TETURB",12731,2325,5164,8518,7763,5438
"THEGRA",16190,1772,3991,6381,6426,4654
"THEPOP",19393,1596,3260,4704,5095,3499
"THOPOR",5152,708,1266,872,1119,411
"THOSTR",7440,2503,3976,3336,3763,1260
"THRMOR",12606,1954,3547,4178,4764,2810
"TOUFIL",21340,3274,6456,8801,9037,5763
"TRELAM",7638,1341,2376,5435,5296,3955
"TREMIC",29477,3289,7551,11993,11831,8542
"TRIHIR",29762,3760,8104,12420,12579,8819
"TRIPAL",20706,3639,8066,11888,11364,7725
"TRITRI",2185,513,875,622,737,224
"TRORAC",17918,3093,6221,6427,6423,3330
"TUROCC",14970,2825,6071,10032,9449,6624
"UREBAC",17004,3801,6340,10896,10867,7066
"VACFAR",11833,1054,3284,3021,3702,2648
"VARBEL",559,335,415,432,442,107
"VARPOL",9946,694,2330,2434,2286,1592
"VARRUP",1224,401,595,447,499,98
"VITDIV",20700,2806,6717,11586,11207,8401
"WALLAM",4151,1569,2361,1986,2267,698
"XYLBUX",18165,3355,5384,4479,5171,1816
"XYLSCH",559,335,415,432,442,107
"ZANFLA",7543,2517,4004,3360,3791,1274
"ZANMAR",22714,3317,8115,10581,10708,7391
"ZANMON",12279,908,3622,5282,5649,4741
"ZANPUN",4132,559,1109,1462,1655,1096
"ZAPPOR",9255,953,2401,2110,2680,1727
"ZIZRET",4529,560,923,541,754,194
