;SCIENTIFIC_NAME;TPA;CODE;fcover_51;fcover_00;tot_change
184;Rhizophora mangle;5.233463878;RHIMAN;830;2076;1246
185;Rochefortia acanthophora;1.477088771;ROCACA;910;1827;917
186;Roystonea borinquena;2.310913243;ROYBOR;3010;11403;8393
187;Samyda dodecandra;1.504272389;SAMDOD;3296;6847;3551
188;Samanea saman;0.130477081;SAMSAM;1024;3175;2151
189;Sapium laurocerasus;0.148307869;SAPLAU;3867;11024;7157
190;Schaefferia frutescens;2.467294246;SCHFRU;4187;10916;6729
191;Schefflera morototonii;3.669193797;SCHMOR;2801;10271;7470
192;Schoepfia obovata;0.369272193;SCHOBO;2855;4278;1423
193;Senna siamea;3.586926586;SENSIA;6493;18302;11809
194;Sideroxylon cubense;0.455778959;SIDCUB;1901;3058;1157
195;Sideroxylon foetidissimum;0.979877142;SIDFOE;3364;5204;1840
196;Sideroxylon obovatum;1.982279055;SIDOBO;786;1133;347
197;Sideroxylon salicifolium;1.49774707;SIDSAL;3347;5076;1729
198;Sloanea amygdalina;0.029661574;SLOAMY;2855;4278;1423
199;Sloanea berteriana;1.00549855;SLOBER;1791;4420;2629
200;Spathodea campanulata;53.66187766;SPACAM;4142;13550;9408
201;Spondias mombin;0.697714521;SPOMOM;1695;8051;6356
202;Sterculia apetala;0.489770565;STEAPE;5941;15879;9938
203;Swietenia macrophylla;0.489770565;SWIMAC;6469;18154;11685
204;Swietenia mahagoni;6.535578165;SWIMAH;1040;2535;1495
205;Symplocos martinicensis;0.118646295;SYMMAR;4207;7796;3589
206;Syzygium jambos;18.28807419;SYZJAM;2817;11772;8955
207;Tabebuia haemantha;21.90709231;TABHAE;2671;11351;8680
208;Tabebuia heterophylla;44.68817907;TABHET;2134;4776;2642
209;Tabebuia schumanniana;0.738544385;TABSCH;1503;4528;3025
210;Tamarindus indica;0.098560339;TAMIND;1448;5173;3725
211;Tecoma stans;0.396455811;TECSTA;1990;6578;4588
212;Terminalia catappa;1.109717016;TERCAT;4389;12092;7703
213;Ternstroemia stahlii;0.369272193;TERSTA;2685;4887;2202
214;Tetragastris balsamifera;0.827529107;TETBAL;3781;12659;8878
215;Tetrazygia elaeagnoides;11.30987658;TETELA;2629;6064;3435
