"sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","tpa_gs_2004","tpa_gs_2009","tpa_gs_2014","tpa_gs_2019","tpa_diam2_2004","tpa_diam2_2009","tpa_diam2_2014","tpa_diam2_2019","tpa_seedlings_2004","tpa_seedlings_2009","tpa_seedlings_2014","tpa_seedlings_2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019"
"CITCAU",6541,1564,3216,4081,3746,2182,NA,0.703054254512936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"CITSIN",10341,1515,3975,6597,6232,4717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITSPI",25174,3066,7630,9332,9607,6541,NA,NA,0.0931502091344064,0.13306001478408,NA,NA,NA,NA,NA,NA,0.0931502091344064,0.13306001478408,NA,NA,12.6716624732504,NA,NA,NA,1,1
"CLIEGG",10229,1922,4243,6990,6473,4551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLIERO",1466,885,1091,1275,1217,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLIHIR",34532,3972,9134,14803,14469,10497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUCLU",5349,1252,2183,3396,3228,1976,1.01079650372463,0.0847026997446644,NA,NA,0.0284905509461046,NA,NA,NA,0.656167401631173,0.0847026997446644,NA,NA,1.13750119824926,47.1046353337187,NA,NA,6,2,NA,NA
"CLUGUN",10226,2296,4459,7186,6616,4320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUMIN",22894,4223,7103,7374,7902,3679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUROS",13384,2874,4473,4009,4453,1579,3.02761448196668,4.26034341238963,4.24158087349987,4.67245994482406,0.0854716528383138,0.056468466496443,NA,0.0310021386630984,1.89011328371742,2.0930366181253,1.74285424836609,2.35669049813322,1.06388731101096,0.351527127256468,130.635947346414,3.47365419063042,15,15,15,14
"COCCOS",6087,2079,3325,2853,3209,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCDIV",18165,3355,5384,4479,5171,1816,7.6425678383889,10.8487007478339,9.41305565517212,9.6776648401679,0.0284905509461046,0.0282342332482215,NA,NA,1.74766052898689,3.64372611052798,3.32483826897298,3.83141684106158,0.709258204186922,81.4721834058962,0.351990622300547,3.88802795111996,16,16,13,15
"COCKRU",3634,654,1061,796,963,309,3.90092012302807,5.27290690884702,4.92786871220765,5.78942361672711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
"COCMIC",5286,954,1716,1615,1839,885,5.68750599124629,11.1239029964911,11.6138183307329,15.3097376675278,NA,0.0282342332482215,NA,NA,1.49213030034272,4.44755052152155,5.13881805320327,5.29133982085106,1.418516417835,5.62443406892788,5.63184998967642,2.37259384489467,5,8,9,10
"COCPUB",11373,2903,4978,5018,5442,2539,5.9954019168727,NA,NA,NA,NA,NA,NA,NA,0.428242994062336,NA,NA,NA,1.13750120297984,NA,NA,NA,1,NA,NA,NA
"COCPYR",4633,1842,2612,3462,3245,1403,NA,NA,0.41505585191764,0.445375904301178,NA,NA,NA,NA,NA,NA,0.0282729605871451,0.0310021386630984,NA,NA,0.351990622300547,NA,NA,NA,2,2
"COCRUG",12265,1586,4532,6003,5512,3926,NA,4.91605389578393,4.64139469596593,5.80123271893312,NA,NA,NA,NA,NA,0.819342315963987,0.773565782660989,0.82874753127616,NA,0.351527127256468,1.75995311619811,NA,NA,1,1,1
"COCSIN",559,335,415,432,442,107,0.354629102093461,0.0282342332482215,1.78822607208988,1.92980787224237,NA,NA,NA,NA,0.354629102093461,0.0282342332482215,0.0282729605871451,0.385961574448474,0.354629102093461,17.6345004779545,55.6841031859917,13.0326630364742,1,1,2,1
"COCSWA",12535,2325,5083,8209,7773,5448,0.354629102093461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"COCUVI",37211,5928,11762,15599,15822,9894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCVEN",24360,3318,7491,7677,8299,4981,NA,0.703054254512936,0.703981244601093,0.416963713111572,NA,NA,NA,NA,NA,0.703054254512936,0.703981244601093,0.416963713111572,NA,8.78817821892529,6.82699093785734,NA,NA,1,1,1
"COFARA",20481,2520,6191,11437,11209,8689,11.4486258744615,12.8294086734094,5.2798593345082,2.70173102113932,NA,NA,NA,NA,1.13750119824926,1.11272541249493,0.351990622300547,0.385961574448474,3.61990492709522,4.56718972236039,0.703981249296475,7.33326995570931,13,13,7,4
"COJARB",17914,3654,5717,4790,5447,1793,0.600134966498647,0.379761360504689,0.380263582887692,0.416963713111572,NA,NA,NA,NA,0.600134966498647,0.0282342332482215,0.0282729605871451,0.0310021386630984,6.69121980035065,0.351527127256468,22.0321723057356,7.17460587988645,1,2,2,2
"COLARB",9757,2254,3589,3153,3613,1359,1.77314551046731,1.63868463192797,0.773565782660989,0.82874753127616,NA,NA,NA,NA,0.709258204186922,NA,NA,NA,0.354629102093461,NA,NA,17.266431266373,1,2,1,1
"COLELL",3755,543,843,517,684,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLVER",5653,910,1966,1949,2282,1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMDOD",5826,862,1504,1094,1379,517,0.709258204186922,0.703054254512936,0.703981244601093,0.771923148896948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
