"","Species","CODE","WD","THK","LA.wp","SLA.wp","MAXHT","seed_mass"
"232","Schaefferia frutescens","SCHFRU",0.942216616,238.4343434,8.222583301,114.0863914,7,38.2968
"233","Schefflera gleasonii","SCHGLE",NA,NA,NA,NA,NA,NA
"234","Schoepfia obovata","SCHOBO",0.579912997,328.4444444,4.360751307,67.13341067,5,NA
"235","Senna siamea","SENSIA",NA,NA,NA,NA,NA,NA
"236","Sideroxylon cubense","SIDCUB",NA,NA,NA,NA,NA,NA
"237","Sideroxylon foetidissimum","SIDFOE",NA,NA,NA,NA,NA,NA
"238","Sideroxylon obovatum","SIDOBO",0.96354011,292.5666667,6.228935831,74.01574953,9,NA
"239","Sideroxylon salicifolium","SIDSAL",0.842611793,205.662037,21.79261586,101.5564497,25,69.6
"240","Sloanea amygdalina","SLOAMY",0.784991099,133.2222222,114.2998069,134.3430704,12,NA
"241","Sloanea berteriana","SLOBER",0.800125551,190.2751323,225.3026563,114.0951604,23,460
"242","Solanum rugosum","SOLRUG",NA,NA,NA,NA,NA,NA
"243","Spathodea campanulata","SPACAM",0.335362879,195.5555556,610.5010117,236.6200677,5,5
"244","Spondias mombin","SPOMOM",NA,NA,NA,NA,NA,NA
"245","Sterculia apetala","STEAPE",NA,NA,NA,NA,NA,NA
"246","Swietenia macrophylla","SWIMAC",0.519537267,130.3636364,763.3712,242.5484,18,566
"247","Symplocos martinicensis","SYMMAR",0.663532699,168.3611111,172.51425,148.15624,15,NA
"248","Syzygium jambos","SYZJAM",0.637763796,266.2619048,40.11330919,88.58468594,18,1340
"249","Syzygium malaccense","SYZMAL",NA,NA,NA,NA,NA,NA
"250","Tabernaemontana citrifolia","TABCIT",0.553789665,239.2888889,66.46687063,246.1738461,5,23.0989011
"251","Tabebuia haemantha","TABHAE",NA,NA,NA,NA,NA,NA
"252","Tabebuia heterophylla","TABHET",0.786032932,337.3744856,145.135622,117.5806975,12,10
"253","Tabebuia rigida","TABRIG",0.693625,NA,147.368,121.817,NA,NA
"254","Tabebuia schumanniana","TABSCH",0.741305248,417.7555556,116.0440083,73.14735248,20,14.73
"255","Tamarindus indica","TAMIND",0.812380723,170.3777778,16.60643373,191.4504112,11,646
"256","Tecoma stans","TECSTA",NA,NA,NA,NA,NA,NA
"257","Terminalia catappa","TERCAT",NA,NA,NA,NA,NA,NA
"258","Ternstroemia stahlii","TERSTA",NA,NA,NA,NA,NA,NA
"259","Tetragastris balsamifera","TETBAL",0.551419671,169.7222222,604.2189239,127.196777,13,NA
"260","Tetrazygia elaeagnoides","TETELA",0.754444614,329.3518519,13.66108362,109.7905793,14,NA
"261","Thespesia grandiflora","THEGRA",NA,NA,NA,NA,NA,NA
"262","Thespesia populnea","THEPOP",NA,NA,NA,NA,NA,NA
"263","Thouinia striata","THOSTR",0.926572126,192.1712963,114.1399747,137.1655334,22,9.3324
"264","Trichilia hirta","TRIHIR",NA,NA,NA,NA,NA,NA
"265","Trichilia pallida","TRIPAL",0.697209801,207.9333333,99.1512521,180.7746615,9,43.0228
"266","Turpinia occidentalis","TUROCC",0.508747642,216.9722222,205.5155703,125.7073321,27,40
"267","Urera baccifera","UREBAC",0.371734872,164,149.4788,629.5152,4,NA
"268","Vitex divaricata","VITDIV",0.651594803,179.6666667,114.0644933,133.3439053,29,NA
"269","Zanthoxylum flavum","ZANFLA",0.86361287,331.1367521,145.9757947,71.42103239,9,25.15
"270","Zanthoxylum martinicense","ZANMAR",0.566025108,212.1111111,370.8468058,242.3988413,33,15.3504
"271","Zanthoxylum monophyllum","ZANMON",0.793975622,207.9333333,22.0499657,141.8967295,6,NA
"272","Ziziphus reticulata","ZIZRET",0.953860843,414.5,14.27027782,70.88891112,NA,211.9696
