"","sp","total_hab","fcover_51","fcover_77","fcover_91","fcover_00","tot_change","tpa2004","tpa2009","tpa2014","tpa2019","nPlots2004","nPlots2009","nPlots2014","nPlots2019","species","seedmass","ss.guanica","ss.swenson","ss","WD","THK","LA.wp","SLA.wp","MAXHT","ss.log","thk.log","la.log","sla.log","wd.z","ss.log.z","thk.log.z","la.log.z","sla.log.z","maxht.z","ss.log.z_pi","wd.z_pi","thk.log.z_pi","la.log.z_pi","sla.log.z_pi","maxht.z_pi","pca1","pca2","pca1_pi","pca2_pi"
"Buchenavia_tetraphylla","BUCTET",17365,3184,6868,11100,10456,7272,0.725006264392821,0.258761354805048,0.288283824120099,0.254805704403552,7,6,6,5,"Buchenavia_tetraphylla",586.04,NA,932,932,0.668729366,195.3111111,22.89388163,241.1821938,30,2.96941591235398,2.29072695067217,1.3597194330228,2.38234524119672,-0.147944697510625,1.10269589355988,-0.628558323390646,-0.467106776956179,1.30092773873835,2.05043536118391,1.10269589355988,-0.147944697510625,-0.628558323390646,-0.467106776956179,1.30092773873835,2.05043536118391,-1.41220695756871,-0.292475292655282,1.83912562979403,-0.421198767651776
"Bunchosia_glandulosa","BUNGLA",13559,1450,3047,4086,4577,3127,NA,NA,NA,NA,NA,NA,NA,NA,"Bunchosia_glandulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.167904934764112,-0.55238608288795,0.77725046526208,0.0717575166582324,-0.031857657389949,-0.387766075864141,NA,NA,-0.660617862446286,0.551931281094501
"Bursera_simaruba","BURSIM",16415,2380,4087,3112,3769,1389,7.38825558257068,10.9967772431899,9.15416821619929,8.60385344688696,28,33,32,33,"Bursera_simaruba",117,62.4,NA,62.4,0.408846119,207.8647343,100.3336848,136.2139871,21,1.79518458968242,2.3177808144972,2.00144676220076,2.13422170528937,-1.53182573317032,0.0144071073886689,-0.452404902256994,0.511375170537719,0.168761908429233,0.955693206032795,0.0144071073886689,-1.53182573317032,-0.452404902256994,0.511375170537719,0.168761908429233,0.955693206032795,-1.45935839412216,-0.382943900586283,0.846372584128973,1.33133041153228
"Buxus_portoricensis","BUXPOR",12272,3385,5723,6255,6522,3137,NA,NA,NA,NA,NA,NA,NA,NA,"Buxus_portoricensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0381770848430206,-0.608372513988123,0.00207795835621607,0.421856073150214,0.0643066104064425,0.0681841986637559,NA,NA,0.141526021663849,0.608277419198382
"Buxus_vahlii","BUXVAH",37905,5956,11834,15700,15971,10015,NA,NA,NA,NA,NA,NA,NA,NA,"Buxus_vahlii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0381770848430206,-0.608372513988123,0.00207795835621607,0.421856073150214,0.0643066104064425,0.0681841986637559,NA,NA,0.141526021663849,0.608277419198382
"Byrsonima_crassifolia","BYRCRA",6374,588,1005,2705,2792,2204,NA,NA,NA,NA,NA,NA,NA,NA,"Byrsonima_crassifolia",2.02,NA,NA,2.02,NA,NA,NA,NA,NA,0.305351369446624,NA,NA,NA,NA,-1.3663845267155,NA,NA,NA,NA,-1.3663845267155,-1.95940979819629,2.29230082158607,-0.382301863658555,-2.3068905271329,0.320302121585449,NA,NA,-3.14606334232106,2.00432764663735
"Byrsonima_lucida","BYRLUC",12377,1577,2896,4473,4828,3251,4.6386688781611,5.09078518107988,4.37177157898509,6.82482632875099,2,4,5,6,"Byrsonima_lucida",459.1228,NA,NA,459.1228,NA,NA,NA,NA,NA,2.66192886032934,NA,NA,NA,NA,0.817713961848232,NA,NA,NA,NA,0.817713961848232,0.63930791344759,-1.55912900984209,-0.352275070584136,1.3348373917017,1.38121795351353,NA,NA,2.22728790172063,-1.19859641253783
"Byrsonima_spicata","BYRSPI",10536,889,2739,3524,3105,2216,1.05114481554018,1.2441579418002,0.897508200829275,0.726985099742556,5,10,10,8,"Byrsonima_spicata",108,NA,289.2,289.2,0.676861271,164.2777778,20.99652813,218.7030325,28,2.46119828862249,2.21557881948156,1.32214748813211,2.33985480493469,-0.104642217480866,0.631674954020301,-1.11786367683803,-0.524395080159445,1.10704762222752,1.80715932670589,0.631674954020301,-0.104642217480866,-1.11786367683803,-0.524395080159445,1.10704762222752,1.80715932670589,-1.26028858752551,0.194353510046499,1.88155409279425,-0.538894679378306
"Byrsonima_wadsworthii","BYRWAD",4851,1512,2337,3484,3154,1642,0.41161020398567,0.379761360504689,0.380263582887692,0.416963713111572,2,2,2,2,"Byrsonima_wadsworthii",NA,NA,NA,NA,0.587397089,286.2777778,27.7614592,87.52933138,19,NA,2.45678763739148,1.44344228980345,1.94215361098679,-0.581039931722936,NA,0.45269787981174,-0.339449280964186,-0.707627881305064,0.712417171554768,-0.371853612684318,-0.581039931722936,0.45269787981174,-0.339449280964186,-0.707627881305064,0.712417171554768,NA,NA,-0.710747455655908,0.379552908515553
"Calophyllum_antillanum","CALANT",21307,3319,6752,7164,7122,3803,5.27134884251656,10.2871324080007,4.74300207968149,7.70226475389,11,14,16,20,"Calophyllum_antillanum",1000,NA,NA,1000,0.669935491,283.9444444,73.44218385,133.6142177,35,3,2.45323337578395,1.86594558240755,2.12585267326022,-0.141522069144222,1.1310415176101,0.429555331826018,0.304768014720284,0.130574752738755,2.65862544737898,1.1310415176101,-0.141522069144222,0.429555331826018,0.304768014720284,0.130574752738755,2.65862544737898,-1.06992915088951,-1.99393383381888,0.687889023278689,0.25265125159603
