CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
809670512290487,72,4,1,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670513290487,72,1,2,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670514290487,72,2,2,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670515290487,72,3,2,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670516290487,72,4,2,480540034489998,1,197190398020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670518290487,72,1,1,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670519290487,72,2,1,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670520290487,72,3,1,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670521290487,72,4,1,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670522290487,72,1,2,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670523290487,72,2,2,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670524290487,72,3,2,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670525290487,72,4,2,480540035489998,1,197190414020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670527290487,72,1,1,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670528290487,72,2,1,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670529290487,72,3,1,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670530290487,72,4,1,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670531290487,72,1,2,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670532290487,72,2,2,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670533290487,72,3,2,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670534290487,72,4,2,480540036489998,1,197190435020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670536290487,72,1,1,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670537290487,72,2,1,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670538290487,72,3,1,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670539290487,72,4,1,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670540290487,72,1,2,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670541290487,72,2,2,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670542290487,72,3,2,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670543290487,72,4,2,480540037489998,1,197190458020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670545290487,72,1,1,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670546290487,72,2,1,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670547290487,72,3,1,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670548290487,72,4,1,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670549290487,72,1,2,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670550290487,72,2,2,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670551290487,72,3,2,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670552290487,72,4,2,480540038489998,1,197190479020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670554290487,72,1,1,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670555290487,72,2,1,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670556290487,72,3,1,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670557290487,72,4,1,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670558290487,72,1,2,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670559290487,72,2,2,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670560290487,72,3,2,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670561290487,72,4,2,480540039489998,1,197190499020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670563290487,72,1,1,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670564290487,72,2,1,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670565290487,72,3,1,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670566290487,72,4,1,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670567290487,72,1,2,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670568290487,72,2,2,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670569290487,72,3,2,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670570290487,72,4,2,480540040489998,1,197190517020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670572290487,72,1,1,480540041489998,1,197190531020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
809670573290487,72,2,1,480540041489998,1,197190531020004,1,1.0,FSJMCHAN,2020-12-15 06:42:20,290487,,,
